Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,SE_CCGT-H2,MIDAT_CCGT-H2,NE_CCGT-H2,SE_OCGT-H2,MIDAT_OCGT-H2,NE_OCGT-H2,SE_Large_SMR_Non_CCS,MIDAT_Large_SMR_Non_CCS,NE_Large_SMR_Non_CCS,SE_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct,NE_Large_SMR_wCCS_96pct,SE_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct,NE_ATR_wCCS_94pct,SE_Solvent_DAC,MIDAT_Solvent_DAC,NE_Solvent_DAC,SE_Sorbent_DAC,MIDAT_Sorbent_DAC,NE_Sorbent_DAC,SE_BECCS_Electricity_Herb,MIDAT_BECCS_Electricity_Herb,NE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Wood,MIDAT_BECCS_Electricity_Wood,NE_BECCS_Electricity_Wood,SE_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb,NE_BECCS_H2_Herb,SE_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood,NE_BECCS_H2_Wood
1,0.275169072,0.773384475,0.275169072,0,0.60858297,0.737869599,0.60858297,0,0.346300676,0.346300676,0,0.266643524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587451812,0.501563323,0.703936107,0.701328804,0.268821577,0.745840345,0.751370891,0.45557042,0.773384475,0.770101422,0.773523532,0.680140092,0.729279305,0.732268151,0.703140584,0.737869599,0.728964954,0.685511407,0.707094143,0.762685773,0.800617544,0.759258756,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0.274815047,0.797724169,0.274815047,0,0.60854015,0.7484847,0.60854015,0,0.346030945,0.346030945,0,0.284421831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603391389,0.540131991,0.695492429,0.677632692,0.30344521,0.724795818,0.721364676,0.485442864,0.797724169,0.753163947,0.778321207,0.650047138,0.708804451,0.708952925,0.684619183,0.7484847,0.764555262,0.698984663,0.725402405,0.769956072,0.797630908,0.765857659,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0.274473963,0.795522445,0.274473963,0,0.608506647,0.768633599,0.608506647,0,0.345822689,0.345822689,0,0.583545685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603355245,0.574809143,0.673862313,0.64476531,0.346983226,0.697639366,0.687185838,0.548510628,0.795522445,0.753968415,0.769036619,0.623398897,0.704144212,0.675284635,0.673285804,0.768633599,0.772993223,0.719198288,0.721333249,0.776784878,0.789313773,0.754071419,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,0.274202563,0.781574824,0.274202563,0,0.608457995,0.750869964,0.608457995,0,0.345584472,0.345584472,0,0.578240395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593490639,0.612155571,0.643869166,0.607331646,0.390070058,0.666152525,0.648667555,0.611344487,0.781574824,0.743692563,0.740244712,0.602562955,0.704561733,0.63840999,0.658329317,0.750869964,0.759641989,0.730729687,0.709749127,0.773495492,0.775459109,0.74869279,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0.273854529,0.745685628,0.273854529,0,0.608432097,0.714233471,0.608432097,0,0.345347552,0.345347552,0,0.548593342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57903447,0.644217555,0.619039441,0.573350932,0.469502266,0.625614504,0.59428734,0.636045462,0.745685628,0.74135081,0.727257363,0.582209052,0.701144373,0.608699561,0.644718772,0.714233471,0.745270957,0.733030113,0.705381066,0.776790245,0.790166551,0.742353511,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
6,0.273513498,0.759913516,0.273513498,0,0.608379382,0.728487722,0.608379382,0,0.34514694,0.34514694,0,0.549233317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000505917,0,0,0,0,0.583702275,0.648466938,0.602425492,0.535037283,0.545472649,0.56030153,0.512983468,0.606883599,0.759913516,0.745083232,0.702795998,0.574942496,0.695664334,0.581931479,0.638670687,0.728487722,0.753826062,0.73032623,0.696242593,0.780704063,0.77138139,0.734500488,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
7,0.273181129,0.780357467,0.273181129,0.162912531,0.608327321,0.734488513,0.608327321,0.179124778,0.34493899,0.34493899,0.011096082,0.512974143,0.011096082,0.007061453,0.021323588,0.01149544,0.000934138,0.077973132,0.046177964,0.01223887,0.162912531,0.131644251,0.170440546,0.018209307,0.093510973,0.102290384,0.045009888,0.185212336,0.179124778,0.144394255,0.136753175,0.074649649,0.192830299,0.045013339,0.606764186,0.621622801,0.582492975,0.499893514,0.589548102,0.49002144,0.421757283,0.573331681,0.780357467,0.743376477,0.683522121,0.573309215,0.698827515,0.564600815,0.623255668,0.734488513,0.760758902,0.719508868,0.695308263,0.783760751,0.776769649,0.726281734,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
8,0.272876498,0.795444269,0.272876498,0.721923778,0.608271498,0.747482225,0.608271498,0.655394034,0.344667961,0.344667961,0.233877291,0.685661256,0.233877291,0.03816564,0.310702151,0.31571053,0.183223219,0.517125853,0.421415771,0.314175348,0.721923778,0.674478292,0.705244873,0.378169704,0.59914069,0.608084726,0.480718518,0.698782646,0.655394034,0.482568736,0.572111023,0.425577379,0.642691113,0.276071753,0.609750493,0.608667217,0.560512149,0.467584965,0.610529944,0.439115278,0.353713884,0.547988414,0.795444269,0.728693348,0.710786622,0.576635064,0.703704648,0.568683037,0.61325015,0.747482225,0.739998974,0.723449327,0.684866251,0.785188565,0.803066581,0.737392868,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9,0.27256165,0.792152582,0.27256165,0.902940555,0.608243087,0.72670566,0.608243087,0.796566493,0.344431041,0.344431041,0.584261402,0.44186914,0.584261402,0.117764426,0.63485009,0.762235775,0.621457038,0.800950053,0.707936303,0.745581303,0.902940555,0.900187029,0.875454704,0.873003103,0.859265004,0.854836306,0.825936331,0.827710027,0.796566493,0.530643747,0.712118631,0.599099555,0.794045878,0.398064399,0.591440987,0.592994195,0.536501739,0.439386479,0.618332483,0.424768567,0.28298762,0.514300487,0.792152582,0.693143834,0.750828699,0.581847101,0.716439338,0.577979243,0.60828729,0.72670566,0.741107562,0.711584028,0.690382775,0.788180914,0.800814981,0.724973515,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
10,0.272222329,0.802380317,0.272222329,0.838152817,0.608168365,0.754349383,0.608168365,0.719659407,0.344193815,0.344193815,0.675449702,0.332068026,0.675449702,0.186732004,0.711479822,0.761740931,0.737638013,0.803369746,0.733454872,0.785152093,0.838152817,0.847115276,0.817947975,0.89665041,0.803188102,0.831221037,0.817914614,0.759000866,0.719659407,0.519736825,0.627812095,0.55292904,0.742555303,0.413534767,0.552582175,0.550707589,0.506504142,0.39590117,0.62296052,0.451718234,0.178915793,0.483467756,0.802380317,0.709632086,0.796538883,0.589213187,0.733775337,0.625516195,0.557244778,0.754349383,0.764817088,0.739461235,0.753030745,0.795599897,0.764820999,0.732598523,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
